time,Pyro [uV],IR_S_u
2023-06-14 00:40:12-05:00,31,0.0
2023-06-14 00:40:18-05:00,31,0.0
2023-06-14 00:40:24-05:00,31,0.0
2023-06-14 00:40:30-05:00,31,0.0
2023-06-14 00:40:36-05:00,47,0.0
2023-06-14 00:40:42-05:00,31,0.0
2023-06-14 00:40:48-05:00,31,0.0
2023-06-14 00:40:54-05:00,31,0.0
2023-06-14 00:41:00-05:00,31,0.0
2023-06-14 00:41:06-05:00,31,0.0
2023-06-14 00:41:12-05:00,31,0.0
2023-06-14 00:41:18-05:00,31,0.0
2023-06-14 00:41:24-05:00,31,0.0
2023-06-14 00:41:30-05:00,31,0.0
2023-06-14 00:41:36-05:00,31,0.0
2023-06-14 00:41:42-05:00,31,0.0
2023-06-14 00:41:48-05:00,31,0.0
2023-06-14 00:41:54-05:00,31,0.0
2023-06-14 00:42:00-05:00,31,0.0
2023-06-14 00:42:06-05:00,31,0.0
2023-06-14 00:42:12-05:00,31,0.0
2023-06-14 00:42:18-05:00,31,0.0
2023-06-14 00:42:24-05:00,31,0.0
2023-06-14 00:42:30-05:00,31,0.0
2023-06-14 00:42:36-05:00,31,0.0
2023-06-14 00:42:42-05:00,31,0.0
2023-06-14 00:42:48-05:00,31,0.0
2023-06-14 00:42:54-05:00,31,0.0
2023-06-14 00:43:00-05:00,31,0.0
2023-06-14 00:43:06-05:00,31,0.0
2023-06-14 00:43:12-05:00,31,0.0
2023-06-14 00:43:18-05:00,31,0.0
2023-06-14 00:43:24-05:00,31,0.0
2023-06-14 00:43:30-05:00,31,0.0
2023-06-14 00:43:36-05:00,31,0.0
2023-06-14 00:43:42-05:00,31,0.0
2023-06-14 00:43:48-05:00,31,0.0
2023-06-14 00:43:54-05:00,31,0.0
2023-06-14 00:44:00-05:00,31,0.0
2023-06-14 00:44:06-05:00,31,0.0
2023-06-14 00:44:12-05:00,31,0.0
2023-06-14 00:44:18-05:00,31,0.0
2023-06-14 00:44:24-05:00,31,0.0
2023-06-14 00:44:30-05:00,31,0.0
2023-06-14 00:44:36-05:00,31,0.0
2023-06-14 00:44:42-05:00,31,0.0
2023-06-14 00:44:48-05:00,31,0.0
2023-06-14 00:44:54-05:00,31,0.0
2023-06-14 00:45:00-05:00,31,0.0
2023-06-14 00:45:06-05:00,31,0.0
2023-06-14 00:45:12-05:00,31,0.0
2023-06-14 00:45:18-05:00,31,0.0
2023-06-14 00:45:24-05:00,16,0.0
2023-06-14 00:45:30-05:00,31,0.0
2023-06-14 00:45:36-05:00,31,0.0
2023-06-14 00:45:42-05:00,31,0.0
2023-06-14 00:45:48-05:00,31,0.0
2023-06-14 00:45:54-05:00,31,0.0
2023-06-14 00:46:00-05:00,31,0.0
2023-06-14 00:46:06-05:00,31,0.0
2023-06-14 00:46:12-05:00,31,0.0
2023-06-14 00:46:18-05:00,31,0.0
2023-06-14 00:46:24-05:00,31,0.0
2023-06-14 00:46:30-05:00,31,0.0
2023-06-14 00:46:36-05:00,31,0.0
2023-06-14 00:46:42-05:00,31,0.0
2023-06-14 00:46:48-05:00,31,0.0
2023-06-14 00:46:54-05:00,31,0.0
2023-06-14 00:47:00-05:00,31,0.0
2023-06-14 00:47:06-05:00,31,0.0
2023-06-14 00:47:12-05:00,31,0.0
2023-06-14 00:47:18-05:00,31,0.0
2023-06-14 00:47:24-05:00,31,0.0
2023-06-14 00:47:30-05:00,31,0.0
2023-06-14 00:47:36-05:00,31,0.0
2023-06-14 00:47:42-05:00,31,0.0
2023-06-14 00:47:48-05:00,31,0.0
2023-06-14 00:47:54-05:00,31,0.0
2023-06-14 00:48:00-05:00,31,0.0
2023-06-14 00:48:06-05:00,31,0.0
2023-06-14 00:48:12-05:00,31,0.0
2023-06-14 00:48:18-05:00,31,0.0
2023-06-14 00:48:24-05:00,31,0.0
2023-06-14 00:48:30-05:00,31,0.0
2023-06-14 00:48:36-05:00,31,0.0
2023-06-14 00:48:42-05:00,31,0.0
2023-06-14 00:48:48-05:00,31,0.0
