filename,time,b,g,r
RCNX0257,2023-06-07 04:09:00,35.30385988339617,35.30385988339617,35.30385988339617
RCNX0258,2023-06-07 04:12:00,38.48943976050831,38.48943976050831,38.48943976050831
RCNX0259,2023-06-07 04:15:00,38.42590638528139,38.42590638528139,38.42590638528139
RCNX0260,2023-06-07 04:18:00,37.74239369501466,37.74239369501466,37.74239369501466
RCNX0261,2023-06-07 04:21:00,39.273284108364756,39.273284108364756,39.273284108364756
RCNX0262,2023-06-07 04:24:00,40.09209433040078,40.09209433040078,40.09209433040078
RCNX0263,2023-06-07 04:27:00,40.78809872922776,40.78809872922776,40.78809872922776
RCNX0264,2023-06-07 04:30:00,45.33021269724899,45.33021269724899,45.33021269724899
RCNX0265,2023-06-07 04:33:00,46.59727735302332,46.59727735302332,46.59727735302332
RCNX0266,2023-06-07 04:36:00,52.34837836894288,52.34837836894288,52.34837836894288
RCNX0267,2023-06-07 04:39:00,57.62294939603407,57.62294939603407,57.62294939603407
RCNX0268,2023-06-07 04:42:00,63.50333621351766,63.50333621351766,63.50333621351766
RCNX0269,2023-06-07 04:45:00,78.18507366289624,78.18507366289624,78.18507366289624
RCNX0270,2023-06-07 04:48:00,100.6467109167714,100.6467109167714,100.6467109167714
RCNX0271,2023-06-07 04:51:00,51.02135220290462,51.02135220290462,51.02135220290462
RCNX0272,2023-06-07 04:54:00,65.33179985337243,65.33179985337243,65.33179985337243
RCNX0273,2023-06-07 04:57:00,94.52294197737746,94.52294197737746,94.52294197737746
RCNX0274,2023-06-07 05:00:00,102.8555242808267,102.8555242808267,102.8555242808267
RCNX0275,2023-06-07 05:03:00,111.81398242214775,111.81398242214775,111.81398242214775
RCNX0276,2023-06-07 05:06:00,105.5356963936601,105.5356963936601,105.5356963936601
RCNX0277,2023-06-07 05:09:00,172.89846346529814,111.50758928571429,77.29641766163944
RCNX0278,2023-06-07 05:12:00,161.92881318949867,106.09192981078061,74.62842872852954
RCNX0279,2023-06-07 05:15:00,176.6392782956291,119.34654203323558,88.30857247591119
RCNX0280,2023-06-07 05:18:00,152.47071725317693,111.09513728878649,96.72607221407624
RCNX0281,2023-06-07 05:21:00,152.99518572825025,111.13726653051249,93.73083542801285
RCNX0282,2023-06-07 05:24:00,171.3410098973607,114.56292766373411,79.06800551598938
RCNX0283,2023-06-07 05:27:00,163.7679308930317,109.55414266513057,75.1178802716101
RCNX0284,2023-06-07 05:30:00,177.98260892333474,123.40362161360146,88.50036656891496
RCNX0285,2023-06-07 05:33:00,162.1263392857143,116.91161063398967,86.9830082216171
RCNX0286,2023-06-07 05:36:00,152.0807477133082,113.59112161360146,86.5513440860215
RCNX0287,2023-06-07 05:39:00,154.48854821254014,118.89151523879346,92.70765256249128
RCNX0288,2023-06-07 05:42:00,150.51243846878927,118.0560078026812,93.01181966554951
RCNX0289,2023-06-07 05:45:00,149.12408968719453,118.72389549294792,95.30907781734395
